task,split,modality,candidate_id,family,score,status,error,fit_seconds,task_log_samples,task_log_features,task_classes,task_imbalance,task_sparse,task_mod_tabular,task_mod_image,task_mod_text,cand_fam_logreg,cand_fam_linearsvc,cand_fam_sgd,cand_fam_knn,cand_strength,cand_balanced,cand_variant_distance,cand_variant_log
train-breast-cancer,train,tabular,logreg-c0.0042813-b1,logreg,0.9415204678362573,success,,0.0012385830013954546,6.345636360828596,3.4339872044851463,2.0,0.6274165202108963,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-2.3684210526315788,1.0,0.0,0.0
train-breast-cancer,train,tabular,logreg-c0.0088587-b1,logreg,0.9590643274853801,success,,0.0013051669993728865,6.345636360828596,3.4339872044851463,2.0,0.6274165202108963,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-2.0526315789473686,1.0,0.0,0.0
train-breast-cancer,train,tabular,logreg-c0.01833-b1,logreg,0.9649122807017544,success,,0.0013158330002625007,6.345636360828596,3.4339872044851463,2.0,0.6274165202108963,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.736842105263158,1.0,0.0,0.0
train-breast-cancer,train,tabular,logreg-c0.037927-b1,logreg,0.9707602339181286,success,,0.0013267079993966036,6.345636360828596,3.4339872044851463,2.0,0.6274165202108963,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.4210526315789473,1.0,0.0,0.0
train-breast-cancer,train,tabular,logreg-c0.078476-b1,logreg,0.9707602339181286,success,,0.0013553750013670651,6.345636360828596,3.4339872044851463,2.0,0.6274165202108963,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.105263157894737,1.0,0.0,0.0
train-breast-cancer,train,tabular,logreg-c0.16238-b1,logreg,0.9707602339181286,success,,0.0017564589998073643,6.345636360828596,3.4339872044851463,2.0,0.6274165202108963,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.7894736842105265,1.0,0.0,0.0
train-breast-cancer,train,tabular,logreg-c0.33598-b1,logreg,0.9707602339181286,success,,0.001604041000973666,6.345636360828596,3.4339872044851463,2.0,0.6274165202108963,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.47368421052631593,1.0,0.0,0.0
train-breast-cancer,train,tabular,logreg-c0.69519-b1,logreg,0.9590643274853801,success,,0.001723416999084293,6.345636360828596,3.4339872044851463,2.0,0.6274165202108963,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.15789473684210528,1.0,0.0,0.0
train-breast-cancer,train,tabular,logreg-c1.4384-b1,logreg,0.9649122807017544,success,,0.0019694169986905763,6.345636360828596,3.4339872044851463,2.0,0.6274165202108963,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.15789473684210534,1.0,0.0,0.0
train-breast-cancer,train,tabular,logreg-c2.9764-b1,logreg,0.9532163742690059,success,,0.0020367080014693784,6.345636360828596,3.4339872044851463,2.0,0.6274165202108963,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4736842105263155,1.0,0.0,0.0
train-breast-cancer,train,tabular,logreg-c6.1585-b1,logreg,0.9415204678362573,success,,0.0019120840006507933,6.345636360828596,3.4339872044851463,2.0,0.6274165202108963,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7894736842105261,1.0,0.0,0.0
train-breast-cancer,train,tabular,logreg-c12.743-b1,logreg,0.935672514619883,success,,0.0017657910011621425,6.345636360828596,3.4339872044851463,2.0,0.6274165202108963,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.1052631578947363,1.0,0.0,0.0
train-breast-cancer,train,tabular,logreg-c26.367-b1,logreg,0.9298245614035088,success,,0.0018906249988503987,6.345636360828596,3.4339872044851463,2.0,0.6274165202108963,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.421052631578947,1.0,0.0,0.0
train-breast-cancer,train,tabular,logreg-c54.556-b1,logreg,0.9298245614035088,success,,0.0019995830007246695,6.345636360828596,3.4339872044851463,2.0,0.6274165202108963,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.7368421052631575,1.0,0.0,0.0
train-breast-cancer,train,tabular,logreg-c112.88-b1,logreg,0.9239766081871345,success,,0.0022273750000749715,6.345636360828596,3.4339872044851463,2.0,0.6274165202108963,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.052631578947368,1.0,0.0,0.0
train-breast-cancer,train,tabular,logreg-c233.57-b1,logreg,0.9239766081871345,success,,0.002370834001339972,6.345636360828596,3.4339872044851463,2.0,0.6274165202108963,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.3684210526315788,1.0,0.0,0.0
